CountdownTime,AbsoluteTime,RelativeTime,TimeStep,LeftEyePosX,LeftEyePosY,LeftEyePosZ,RightEyePosX,RightEyePosY,RightEyePosZ,LeftEyeHitObject,RightEyeHitObject,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,HeadEulerX,HeadEulerY,HeadEulerZ,LHandPosX,LHandPosY,LHandPosZ,LHandRotX,LHandRotY,LHandRotZ,LHandRotW,LHandEulerX,LHandEulerY,LHandEulerZ,RHandPosX,RHandPosY,RHandPosZ,RHandRotX,RHandRotY,RHandRotZ,RHandRotW,RHandEulerX,RHandEulerY,RHandEulerZ,LeftJoyX,LeftJoyY,RightJoyX,RightJoyY,L_One,L_Two,L_IndexTrigger,L_HandTrigger,L_Start,L_Thumbstick,L_ThumbUp,L_ThumbClick,R_One,R_Two,R_IndexTrigger,R_HandTrigger,R_Start,R_Thumbstick,R_ThumbUp,R_ThumbClick
09:59.7,44:47.8,20.8442,0.01413,0,0,0,0,0,0,None,None,-2.09789,1.28033,1.13276,-0.177402,0.9689125,0.1444601,-0.09417237,345.728,193.9567,337.493,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.7,44:47.8,20.8584,0.014168,0,0,0,0,0,0,None,None,-2.097242,1.279978,1.132665,-0.1775019,0.9693445,0.1422536,-0.09288845,345.9476,193.7506,337.5436,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.7,44:47.8,20.8717,0.013369,0,0,0,0,0,0,None,None,-2.09675,1.279751,1.132567,-0.1772013,0.9699766,0.1394203,-0.09114319,346.2216,193.4695,337.6592,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.6,44:47.8,20.8855,0.01372,0,0,0,0,0,0,None,None,-2.096196,1.279485,1.13243,-0.1773598,0.9705426,0.136531,-0.08916248,346.5032,193.1672,337.7229,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.6,44:47.8,20.8993,0.01379,0,0,0,0,0,0,None,None,-2.095466,1.279125,1.13219,-0.177387,0.9711167,0.133854,-0.08688728,346.7529,192.8356,337.8,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.6,44:47.8,20.9134,0.014166,0,0,0,0,0,0,None,None,-2.094658,1.278917,1.132087,-0.1774583,0.9718904,0.1303248,-0.08338449,347.0719,192.3424,337.9008,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.6,44:47.8,20.9275,0.014065,0,0,0,0,0,0,None,None,-2.093635,1.278711,1.131847,-0.1764269,0.9727818,0.1274939,-0.07946356,347.2905,191.8062,338.1213,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.6,44:47.9,20.9414,0.013935,0,0,0,0,0,0,None,None,-2.092585,1.278645,1.131629,-0.1749778,0.9737976,0.1248392,-0.07427123,347.4586,191.1245,338.4007,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.6,44:47.9,20.9554,0.013962,0,0,0,0,0,0,None,None,-2.091538,1.278566,1.13147,-0.1740861,0.9746581,0.1221795,-0.06933787,347.6417,190.4814,338.6082,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.6,44:47.9,20.9695,0.014095,0,0,0,0,0,0,None,None,-2.090255,1.278461,1.131173,-0.1736417,0.9753622,0.1196856,-0.06474978,347.8198,189.889,338.7533,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
